423.347, 433.317, 443.149, 452.684, 461.777, 470.35, 478.389, 485.905, 493.766, 500.757, 508.129, 514.543, 520.375, 526.78, 531.92, 536.497, 541.564, 545.543, 549.209, 552.669, 555.97
433.333, 443.168, 453.063, 462.603, 471.696, 480.265, 488.298, 495.807, 502.798, 510.169, 516.583, 522.415, 528.812, 533.952, 538.53, 543.586, 547.565, 551.23, 554.69, 557.991, 561.132
443.268, 453.106, 462.651, 471.75, 481.233, 489.783, 497.79, 505.269, 512.227, 518.641, 524.473, 530.864, 536.004, 540.581, 545.626, 549.604, 553.27, 556.729, 560.03, 563.17, 566.116
452.836, 462.67, 472.207, 481.292, 489.844, 497.851, 506.537, 513.951, 520.837, 527.174, 532.922, 538.062, 542.638, 547.676, 551.654, 555.319, 558.778, 562.079, 565.219, 568.165, 571.124
461.743, 471.568, 481.085, 490.137, 498.641, 506.591, 514.004, 520.889, 527.226, 534.672, 540.292, 545.295, 549.726, 553.704, 557.369, 560.828, 564.129, 567.269, 570.214, 573.169, 575.746
469.622, 479.131, 488.18, 496.684, 506.577, 514.43, 521.734, 528.502, 534.717, 540.337, 545.339, 551.434, 555.686, 559.481, 562.967, 566.255, 569.399, 572.396, 575.213, 577.791, 580.051
477.171, 486.214, 494.718, 504.614, 512.466, 519.77, 526.539, 535.147, 541.196, 546.647, 551.474, 555.726, 559.522, 563.007, 566.295, 570.642, 573.626, 576.48, 579.167, 581.626, 583.779
484.239, 492.74, 502.642, 510.494, 517.798, 524.567, 533.181, 539.23, 544.68, 552.002, 556.625, 560.673, 564.27, 567.567, 570.68, 573.664, 576.518, 579.204, 581.663, 584.573, 586.623
490.754, 500.662, 508.513, 515.817, 522.586, 531.206, 537.256, 542.706, 550.034, 554.657, 558.705, 564.707, 568.097, 571.204, 574.148, 576.981, 579.701, 582.265, 584.61, 586.658, 588.666
498.673, 506.524, 513.828, 520.596, 529.224, 535.274, 540.723, 548.059, 552.682, 556.73, 562.738, 566.128, 569.235, 572.178, 575.012, 579.461, 582.057, 584.508, 586.75, 588.701, 589.973
505.763, 513.476, 520.626, 527.234, 533.284, 538.733, 546.076, 550.698, 554.746, 560.762, 564.151, 567.258, 570.202, 573.035, 577.491, 580.086, 582.538, 584.779, 586.73, 590.007, 590.655
512.109, 519.642, 526.595, 532.998, 538.842, 544.086, 548.708, 552.756, 558.778, 562.168, 565.274, 568.218, 571.051, 575.513, 578.108, 580.56, 582.801, 584.752, 588.036, 590.688, 590.898
517.805, 525.118, 531.828, 537.98, 543.574, 548.574, 552.962, 556.788, 560.177, 563.284, 566.227, 569.06, 573.529, 576.124, 578.575, 580.816, 582.768, 586.057, 588.716, 590.93, 590.918
522.925, 529.98, 536.403, 542.257, 547.555, 552.271, 556.392, 559.974, 563.146, 566.064, 568.845, 571.538, 574.133, 576.584, 578.825, 580.776, 584.072, 586.737, 588.957, 590.95, 590.888
527.523, 534.292, 540.392, 545.908, 550.867, 555.259, 559.081, 562.396, 565.339, 568.065, 570.686, 573.244, 575.723, 578.072, 580.218, 582.081, 584.752, 586.978, 588.976, 590.919, 590.89
531.66, 538.13, 543.886, 549.037, 553.629, 557.669, 561.167, 564.198, 566.901, 569.428, 571.885, 574.307, 576.671, 578.921, 580.98, 582.76, 584.992, 586.996, 588.944, 590.92, 590.936
535.421, 541.592, 547.003, 551.783, 556, 559.679, 562.847, 565.587, 568.044, 570.366, 572.652, 574.931, 577.177, 579.327, 581.299, 583, 585.01, 586.964, 588.945, 590.965, 591.004
538.891, 544.777, 549.858, 554.281, 558.137, 561.468, 564.317, 566.775, 568.989, 571.105, 573.216, 575.347, 577.468, 579.515, 581.397, 583.018, 584.977, 586.964, 588.989, 591.032, 591.075
542.123, 547.743, 552.516, 556.611, 560.135, 563.147, 565.702, 567.9, 569.886, 571.802, 573.74, 575.721, 577.715, 579.654, 581.444, 582.985, 584.978, 587.008, 589.056, 591.102, 591.137
545.122, 550.494, 554.985, 558.781, 562.007, 564.735, 567.029, 568.993, 570.771, 572.503, 574.278, 576.116, 577.987, 579.82, 581.52, 582.985, 585.021, 587.074, 589.126, 591.165, 591.189
547.867, 553.006, 557.235, 560.759, 563.718, 566.195, 568.259, 570.016, 571.61, 573.178, 574.806, 576.515, 578.273, 580.009, 581.628, 583.028, 585.088, 587.147, 589.199, 591.245, 591.288
